review_id,review_text
1,O produto chegou rápido e em perfeito estado!
2,"Demorou demais, não recomendo."
3,"É ok, nada de especial."
4,"Excelente qualidade, super recomendo."
5,"Veio com defeito, estou decepcionado."
6,"Atendimento razoável, mas entrega atrasou."
7,Preço justo e entrega dentro do prazo.
8,"Horrível, não funciona como descrito."
9,"Funciona bem, mas poderia ser mais barato."
10,"Surpreendeu minhas expectativas, muito bom!"
11,"A embalagem estava danificada, mas o produto está ok."
12,"Gostei bastante, vou comprar de novo."
13,"Não gostei, não recomendo a ninguém."
14,"Entrega foi rápida, mas o suporte não ajudou."
15,"Produto excelente, qualidade impecável."
16,Chegou com atraso e sem nota fiscal.
17,"Tudo certo, experiência positiva."
18,"Fiquei muito insatisfeito, quero meu dinheiro de volta."
19,Produto cumpre o que promete.
20,"Bom custo-benefício, voltaria a comprar."
